자치구,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수
강남구,502,"['740' '2412' '440' '441' '542' '9409' '9401-1' '9408' '9711' '9401'
 '9404' 'N37' '4425' '341' '8541' '241' '4318' '강남10' '2413' '342' '470'
 '3217' '143' '3411' '3412' '3413' '4211' '242' '3414' '3426' '4435'
 '3416' '452' '3417' '8441' '3422' '741' '4212' '4312' '144' 'N64' 'N31'
 '145' '8641' '강남03' '강남07' '강남05' '강남06' '강남01' '강남02' '6411' '301' '340'
 '146' '360' '147' '서초20' '서초21' '400' '서초03' '서초08' '서초09' '140' '401'
 '402' '강남06-1' '강남08' '421' '강남06-2' '405' '송파02' '4319' '송파03' '406'
 '서초18' '서초18-1' '3011' '141' '343' '420' '345' '361' '3420' '333' '461'
 '350' '472' 'N13' '4432' '4433' '8146' '148' '2416' 'N61' '2415' '463'
 '142' '240' '040']",9113021,8640353,135.1639079232298,128.1533179081012
강동구,376,"['강동02' '341' '2312' '370' '342' '3212' '3411' '3321' '3412' '3413' 'N31'
 '강동01' '강동05' '130' '340' '3318' '8332' '3319' 'N30' '3323' '3214' '3316'
 '3220' '3324']",3306588,3242901,94.63888491370675,92.81607945276052
강북구,410,"['5626' '5623' '5531' '5530' '107' '111' '8101' '102' 'N15' '노원14' '노원15'
 '121' '172' '144' 'N51' '145' '104' '130' '성북10' '강북02' '강북01' '강북11'
 '109' '강북10' '강북03' '강북05' '강북06' '강북12' '강북09' '101' '도봉02' '도봉03'
 '도봉04' '도봉05' '140' '147' '1111' '1113' '1115' '1119' '1120' '1124' '150'
 '1126' '1128' '710' '100' '141' '1133' '성북14-1' '1137' '1116' '1167'
 '151' '1138' '1112' '1144' '1218' '152' '106' '142' 'N16' '1127' '강북08'
 '148' '1165' '163' '160' '103' '120' '강북04']",5244436,5077041,138.24430619991566,133.83174293547026
강서구,565,"['673' '서울04퇴근' '서울02퇴근' 'N26' '서울02출근' '서울04출근' '661' '8762' '강서05' '654'
 '602' '강서05-1' '674' '604' '605' '606' '650' '651' 'N64' '5616' '5712'
 '강서07' '강서01' '강서02' '강서03' '강서04' '강서06' '6514' '6620' '6623' '6627'
 '6628' '6629' '6630' '6631' '6632' '6712' '6714' '6715' '6648' '672'
 '660' '653' '6633' '6645' '6642' '6647' '662' '6625' '6716' 'N62' '601'
 '652' '6657']",5244615,5218001,93.10683662056844,92.63436240657565
관악구,465,"['5713' '5627' '5625' '5623' '5536' '5535' '5531' '5530' '5413' '750B'
 '505' '504' '500' '6515' '441' '507' '5633' '540' '8541' '8561' '5522B'
 'N15' '5523' '4318' '8551' '6516' '8552' '641' '4212' '5634' '650' 'N51'
 '5511' '5513' '651' '5516' '5517' 'N75' '5519' '5524' '5525' '5528'
 '5615' '5616' '5617' '5620' '5621' '6511' '750A' '6512' '관악01' '관악10'
 '관악02' '관악03' '관악04' '6514' '관악05' '관악06' '관악07' '관악08' '금천03' '643'
 '5515' '동작20' '동작13' '동작05' '동작06' '동작14' '동작05-1' '관악11' '150' '4319'
 '502' '461' '506' '501' '152' 'N61' '금천06' '금천07' '5522A' '8442']",7691243,7850254,147.777792721823,150.83299389002036
광진구,278,"['2227' '303' '302' '2412' '9409' '422' '4425' '721' '2311' '370' '3212'
 '3217' '242' '452' '4212' '130' 'N73' '146' '강동01' '광진02' '광진03' '광진04'
 '광진05' '성동10' '광진01' '2016' '2224' '8146' '2012' 'N30' 'N61' '2416'
 '3214' '2014' '3220' '2415' '2221' '3216' 'N62' '320' '240' '2211' '2222']",3207725,3228754,118.75624745474066,119.5347821258006
구로구,478,"['6638' '6637' '6616' '5714' '5713' '5630' '5626' '5625' '5623' '5536'
 '5535' '5531' '505' '504' '503' '6515' '6713' '8661' '507' '5633' '654'
 '6615' '6516' '5634' '5012' 'N51' '651' '5528' '5615' '5616' '5618'
 '5619' '5611' '5620' '8641' '5712' '6411' '6511' '6512' '구로10' '구로05'
 '구로07' '구로08' '구로09' '구로12' '구로01' '구로02' '구로03' '구로04' '구로13' '금천03'
 '643' '영등포04' '영등포01' '150' '영등포09' '양천04' '영등포12' '영등포13' '구로15' '영등포08'
 '구로06' '구로11' '660' '653' '6633' '662' '6613' '6614' 'N16' 'N61' '571'
 '600' '6716' '160' '금천06' '금천07' '6640A' '6640B' '652' '구로14']",5525646,5324566,125.11935330480266,120.5662205918982
금천구,344,"['5714' '5713' '5630' '5627' '5626' '5625' '5623' '5536' '5535' '5531'
 '5530' '5413' '505' '504' '503' '500' '6515' '507' '5633' '8541' '5537'
 '6516' '5634' '5012' 'N51' '651' '5517' '5525' '5528' '5615' '5616'
 '5617' '5618' '5619' '5611' '5620' '5621' '5712' '6512' '금천02' '금천03'
 '금천04' '643' '150' '금천01' '금천11' '구로11' '653' '152' '금천08' 'N61' '571'
 '금천05' '금천06' '금천07' '652']",3990114,3839246,129.95420792079207,125.04058103178738
노원구,495,"['1155' '서울09퇴근' '8112' '2212' '111' '서울09출근' '661' '100' '노원14' '노원15'
 '173' '102' '606' '172' 'N51' '261' '146' '1139' '노원01' '노원11' '노원02'
 '노원03' '노원05' '노원08' '노원09' '도봉09' '1017' '147' '성북12' '1120' '105'
 '1122' '1129' '1130' '노원13' '1132' '성북14-1' '1133' '1135' '1136' '1137'
 '1167' '1138' '1140' '1144' '1154' '2113' '2114' '1131' '1221' '1141'
 '1142' '1222' 'N13' '1143' '1224' '8146' 'N61' '202' '103' '1227']",4609496,4535591,88.73630308397182,87.31357563623763
도봉구,366,"['5713' '5626' '5625' '107' '서울10퇴근' '서울05퇴근' '441' '서울05출근' '서울10출근'
 '540' '8101' 'N15' '노원14' '노원15' '102' '144' '130' '109' '146' '강북05'
 '1139' '노원05' '노원08' '도봉08' '도봉09' '도봉01' '도봉02' '도봉03' '도봉04' '도봉05'
 '도봉06' '도봉07' '140' '147' '1119' '101' '1120' '1126' '150' '1128' '1129'
 '141' '1133' '502' '1167' '1138' '1144' '151' '1142' '1127' 'N16' '8146'
 '106' '142' '163' '160' '120']",3575712,3493061,110.5799109351806,108.02390524492826
동대문구,309,"['303' '201' '9408' 'N26' '111' '4425' '721' '2233' '241' 'N15' '성북21'
 '2311' '270' '370' '173' '121' '110A' '144' '8221' '260' '271' 'N51'
 '261' '145' '720' '130' 'N72' '262' '101' '110B' '272' '2230' '동대문01'
 '동대문02' '147' '동대문05' '1017' '105' '1111' '7211' '성북04' '141' '1122'
 '중랑01' '동대문03' '421' '420' '1112' '2115A' '2115B' '1213' '1218' '152'
 'N13' '1222' '1224' '2236' '148' '1226' 'N30' '273' '2416' '2013' '202'
 '3220' '2015' '2221' '3216' '2112' '103' '120' '2211' '1227' '성북20'
 '2222']",5887202,5770880,135.50619159416286,132.8287989688349
동작구,435,"['5713' '5625' '5623' '5536' '5535' '5531' '5530' '5413' '750B' '505'
 '504' '500' '6515' '6713' '507' '5633' '540' '8541' '8561' 'N15' '4318'
 '동작19' '654' '8551' '773' '605' '6516' '640' '452' '641' '4212' '742'
 '650' '5634' 'N51' '5511' 'N64' '5516' '5517' 'N75' '5524' '5525' '5528'
 '752' '5616' '8641' '753' '5620' '6211' '6411' '6511' '750A' '6512'
 '관악01' '6514' '643' '동작02' '동작15' '동작07' '동작16' '동작01' '동작17' '동작18'
 '동작09' '동작10' '동작08' '360' '동작11' '동작20' '동작03' '동작12' '동작13' '동작05'
 '동작06' '동작14' '서초16' '서초17' '서초05' '서초06' '동작05-1' '동작21' '150' '4319'
 '502' '361' '461' '151' '350' '152' '506' '501' 'N61' '9711' '040']",5483153,5292264,120.56185136323658,116.36464379947229
마포구,561,"['7726' '7017' '7016' '673' '6638' '6616' '5714' '5713' '5630' '5627'
 '5535' '740' '771' '505' '504' '503' '서울03퇴근' '9707' '9711' 'N26' '760'
 '6713' '서울03출근' '5633' '721' '8773' '8762' '603' '270' '470' '604' '674'
 '173' '7734' '171' '761' '606' '172' '271' '742' '260' 'N51' '110A' 'N75'
 '261' 'N72' 'N73' '753' '마포13' '5712' '110B' '750A' '6712' '6714' '6715'
 '마포15' '마포07' '마포08' '마포10' '마포16' '7011' '마포09' '마포11' '마포12' '마포01'
 '마포17' '마포02' '마포03' '마포06' '7019' '서대문05' '서대문06' '7611' '7612' '7613'
 '7711' '7730' '710' '7013A' '7013B' '마포18' '마포18-1' '672' '8671' '7737'
 '7739' '472' '7715' 'N16' '마포05' '1711' '571' '273' '163' '600' 'N62'
 '6716' '160' '601' '463' '602' '8777']",6118596,5943912,107.15767351442231,104.09835548783691
서대문구,456,"['7728' '7727' '7726' '7021' '7017' '7016' '673' '5714' '5713' '740'
 '750B' '704' '702A' '7025' '703' '707' '700' 'N26' 'N37' '6713' '702B'
 '661' '721' '8774' '9714' '8701' '8773' '서대문02' '603' '270' '370' '470'
 '674' '604' '173' '171' '7734' '761' '606' '172' '741' '260' '708' '271'
 '742' '110A' 'N51' '701' 'N75' '720' '752' 'N72' 'N73' '753' '110B' '272'
 '750A' '6712' '6714' '마포07' '7011' '마포10' '7018' '마포06' '7019' '서대문01'
 '서대문10' '서대문11' '서대문12' '서대문13' '서대문14' '서대문03' '서대문04' '서대문05' '서대문06'
 '서대문08' '서대문07' '7611' '7612' '7613' '7713' '7719' '7720' '7730' '710'
 '150' '7013A' '서대문09' '7013B' '서대문15' '672' '7024' '101' '705' '7212'
 '7737' '7738' '7739' '472' '7715' '273' '163' '160' '600' 'N62' '6716'
 '103' '601' '602']",6635861,6554692,114.10841902534649,112.71265949031881
서초구,602,"['5530' '740' '5413' '201' '서울06퇴근' '서울01퇴근' '서울07출근' '440' '441' '541'
 '542' '9409' '9401-1' '9408' '9711' '9401' '9404' 'N37' '서울01출근' '서울06출근'
 '서울07퇴근' '540' '341' '8541' 'N15' '241' '4318' '강남10' '470' '143' '4211'
 '4435' '640' '452' '741' '641' '4212' '0411' '4312' '742' '144' 'N64'
 'N75' '5524' 'N31' '5528' '145' '752' '8641' '6411' '146' '340' '643'
 '동작07' '동작16' '동작17' '동작18' '동작09' '360' '140' '서초01' '서초10' '서초11'
 '서초06' '서초13' '서초14' '서초15' '서초16' '400' '서초17' '서초02' '서초20' '서초21'
 '서초03' '서초05' '서초07' '서초08' '서초09' '401' '402' '서초22' '421' '406' '405'
 '4319' '서초18' '502' '서초18-1' '141' '420' '345' '361' '3420' '461' '350'
 'N13' '4432' '4433' '8146' '148' 'N61' '142' '463' '8442' '040']",7776846,7575195,125.08196352172934,121.83863029562197
성동구,432,"['303' '302' '2412' '721' '2233' '241' '성동13' '2413' '370' '3217' '110A'
 '121' '4211' '242' '4212' '145' '130' 'N73' '성동15' '146' '110B' '6211'
 '301' '147' '1017' '성동01' '성동02' '141' '성동05' '성동09' '성동08' '성동10' '421'
 '성동03-1' '성동03-2' '성동14' '성동12' '2016' '7212' '2224' '8146' '2012' '148'
 'N30' 'N61' '2416' '2013' '202' '2014' '3220' '2015' '2221' '3216' 'N62'
 '2112' '240' '2222' '463']",3185165,3134742,100.74216402568238,99.14735743429168
성북구,596,"['1155' '107' '111' '8101' 'N15' '성북21' '143' '162' '171' '173' '172'
 '121' '110A' '144' 'N51' '261' 'N31' '145' '104' '130' '성북10' '110B'
 '109' '강북11' '101' '272' '강북05' '강북12' '강북09' '100' '노원03' '140' '성북22'
 '1014' '147' '1017' '1020' '1111' '7211' '1113' '1115' '성북13' '성북01'
 '성북05' '성북08' '성북09' '성북15' '성북12' '150' '성북03' '성북02' '성북04' '성북07'
 '성북06' '141' '1128' '710' '종로03' '1122' '노원13' '1132' '성북14-1' '성북14-2'
 '1135' '1136' '1137' '151' '1116' '1112' '8111' '2115A' '2115B' '1213'
 '106' '1162' '1218' '1164' '152' '2113' '2114' '1131' '1141' 'N13' '142'
 '1222' 'N16' '1114' '102' '강북08' '1711' '148' '1226' '273' '1165' '163'
 '160' '103' '120' '2112' '성북20']",6610774,6642472,116.67650329162181,117.23595545279656
송파구,476,"['303' '302' '2412' '440' '422' 'N37' '4425' '341' '4318' '2311' '342'
 '3212' '3217' '8331' '3313' '3314' '3315' '3411' '3412' '3321' '3413'
 '3322' '3414' '3426' '3416' '452' '3417' '3422' '4312' 'N31' 'N73' '강남05'
 '강동01' '301' '340' '360' '401' '402' '송파01' '송파02' '송파03' '4319' '3011'
 '343' '345' '3318' '361' '3420' '333' '3319' '461' '350' 'N13' '3214'
 '3316' '3220' '2415' '3216' '320' '3317' '3324' '3323']",6172655,6176516,107.37293000278319,107.44009184525466
양천구,319,"['673' '6638' '6637' '5630' '661' '602' '603' '654' '6515' '674' '604'
 '6615' '6516' '606' '640' '650' '5012' '651' 'N64' '5616' '5712' '6211'
 '6411' '6511' '강서06' '6514' '6617' '6620' '6623' '구로01' '6627' '643'
 '6628' '6629' '6630' '6714' '6715' '양천01' '양천02' '양천03' '양천04' '6648'
 '653' '6633' '662' '6625' '6624' '6613' '6614' '571' 'N61' 'N62' '6716'
 '6640A' '6640B' '652' '6657']",4483720,4310824,102.4288390368712,98.479097180975
영등포구,466,"['7728' '6637' '5714' '5713' '5625' '5623' '5536' '5531' '505' '503'
 '6515' '9707' 'N26' '760' '6713' '507' '5633' '661' '8561' '602' '162'
 '654' '603' '674' '604' '605' '761' '6516' '606' '640' '641' '650' '5634'
 '260' '5012' 'N51' 'N64' '261' '5615' '5616' '5618' '5611' '753' '8641'
 '5620' '262' '5712' '6211' '6411' '6511' '6512' '6514' '6620' '6623'
 '6628' '6629' '영등포07' '6630' '6631' '영등포06' '360' '6632' '6712' '6714'
 '7611' '7612' '7613' '양천01' '동작05-1' '영등포02' '영등포04' '영등포01' '150'
 '영등포09' '영등포10' '영등포11' '영등포12' '영등포13' '영등포05' '영등포08' '영등포03' '660'
 '672' '361' '461' '6633' '8671' '662' '6625' 'N16' '163' '571' '600'
 '6716' 'N62' '6640A' '6640B' '160' '463' '601' '9711']",6555386,6611792,125.32761059916645,126.40599548808932
용산구,325,"['7016' '740' '750B' '505' '504' '503' '500' '9401-1' '9711' '9401' 'N37'
 '507' '100' '241' '143' 'N15' '162' '470' '604' '173' '605' '110A' '144'
 '741' '0411' '742' '5012' '261' 'N75' 'N31' '262' 'N72' '752' '01A' '01B'
 '110B' '6211' '750A' '용산04' '140' '마포01' '마포17' '400' '서대문06' '401' '150'
 '402' '용산01' '용산02' '용산03' '421' '406' '405' '502' '151' '420' '3011'
 '2016' '152' '0017' '472' '142' 'N13' '501' '506' 'N16' '1711' '202'
 '463' '040']",4764100,4663071,136.0821503042075,133.19634951012597
은평구,494,"['7728' '7727' '7726' '7021' '7017' '7016' '740' '771' '750B' '704' '702A'
 '서울08퇴근' '7025' '703' '707' '9711' '700' 'N37' '760' '서울08출근' '702B'
 '8774' '9714' '8701' '8773' '은평07' '은평10' '270' '470' '8771' '7734' '773'
 '774' '761' '은평08-1' '은평08-2' '741' '708' '742' '701' 'N75' '720' '752'
 'N72' 'N73' '753' '은평03-1' '은평03-2' '750A' '은평06' '7011' '7018' '7019'
 '7022' '7211' '7611' '7613' '7719' '7720' '7722' '7723' '7730' '은평02'
 '은평04' '은평05' '7013A' '7013B' '은평09' '705' '7212' '7737' '7738' '7739'
 '7715' '571' '8772']",5723211,5636929,103.49199833637728,101.93177338565306
종로구,359,"['100' '7016' '750B' '704' '702A' '201' '107' '7025' '703' '707' '9401'
 '700' 'N26' 'N37' '111' '702B' '721' '9714' '청와대A01' '8101' '8701' '162'
 'N15' '270' '370' '470' '171' '173' '110A' '172' '606' '144' '101' '260'
 '741' '708' '104' '8003' '271' 'N51' '261' '701' 'N75' '720' 'N31' '262'
 'N72' '01A' '110B' '272' '109' '750A' '301' '140' '105' '종로07' '1014'
 '7018' '1020' '7019' '서대문11' '7022' '서대문08' '7211' '150' '401' '종로08'
 '7730' '710' '종로03' '종로11' '종로13' '종로01' '종로02' '종로12' '종로05' '종로09'
 '421' '406' '151' '420' '106' '8111' '152' '7212' '705' '102' '142'
 '7737' '7024' 'N13' '501' 'N16' '1711' 'N30' '160' '273' '163' '2014'
 '600' 'N62' '2112' '103' '601' '143' '602' '2233']",6030756,5793573,136.74563511858872,131.36757970160085
중구,172,"['7021' '7017' '7016' '750B' '704' '702A' '505' '504' '503' '500' '201'
 '703' '707' '9401' '700' 'N37' '507' '702B' '9714' '8101' '8701' '100'
 '143' '2233' '241' 'N15' '162' '603' '370' '470' '604' '173' '172' '144'
 '741' '708' '742' 'N51' '261' '104' '701' 'N75' '720' 'N31' '262' 'N72'
 '752' 'N73' '101' '01A' '01B' '6211' '750A' '301' '용산04' '140' '105'
 '147' '7011' '400' '7019' '7022' '서대문06' '401' '성동01' '150' '성동05' '402'
 '종로11' '7013A' '종로09' '7013B' '421' '406' '405' '성동03-2' '151' '성동12'
 '502' '420' '152' '705' '7212' '142' '7024' '472' 'N13' '501' '463' '506'
 'N16' '1711' '2012' 'N30' '2013' '202' '2014' '600' '2015' 'N62' '103'
 '602']",4384564,4238810,132.19259527255187,127.79817896767969
중랑구,384,"['2227' '201' '9409' '2212' '9408' '9401' '9404' 'N26' '241' '2233' '2312'
 '2311' '270' '242' '260' '271' '4212' '262' 'N72' '146' '272' '2230'
 '105' '1122' '중랑01' '중랑02' '2115A' '2115B' '1213' '2016' '2113' '2114'
 '1221' '1143' '1224' '8146' '2236' '2012' '2013' '273' 'N61' '2416' '202'
 '2015' '320' 'N62' '2112' '240' '2211' '1227']",4220995,4167084,83.24284615536317,82.17965961307118
